antecedent_verb	antecedent_polarity	antecedent_frame	target	consequent_verb	consequent_embedded_tense	antecedent_text	response_normalized
disquiet	positive	NP be V that S	subject	believe	past	A was disquieted that C happened	0.7103614211082458
reassert	negative	NP V that S	subject	believe	past	A didn't reassert that C happened	0.39495599269866943
prove	negative	NP V to NP that S	object	want	past	A didn't prove to B that C happened	0.4630286693572998
describe	negative	NP V to NP that S[+future]	subject	believe	future	A didn't describe to B that C would happen	0.3685695230960846
bug	negative	NP be V that S	subject	believe	past	A wasn't bugged that C happened	0.8061431646347046
recount	negative	NP V to NP that S	subject	want	past	A didn't recount to B that C happened	0.41471999883651733
strain	positive	NP V that S[+future]	subject	believe	future	A strained that C would happen	0.6478679776191711
sadden	positive	NP be V that S	subject	believe	past	A was saddened that C happened	0.897936224937439
scribble	negative	NP V to NP that S	subject	believe	past	A didn't scribble to B that C happened	0.38645368814468384
sulk	positive	NP V to NP that S[+future]	object	want	future	A sulked to B that C would happen	0.2801152169704437
approve	negative	NP V that S[+future]	subject	believe	future	A didn't approve that C would happen	0.5660980343818665
theorize	positive	NP V to NP that S[+future]	object	believe	future	A theorized to B that C would happen	0.6731834411621094
beam	positive	NP V that S	subject	believe	past	A beamed that C happened	0.9131020307540894
grumble	negative	NP V that S	subject	believe	past	A didn't grumble that C happened	0.7245224118232727
certify	positive	NP V to NP that S	object	want	past	A certified to B that C happened	0.6195181608200073
agree	negative	NP be V that S[+future]	subject	want	future	A wasn't agreed that C would happen	0.34946662187576294
state	negative	NP V that S	subject	want	past	A didn't state that C happened	0.42900943756103516
communicate	positive	NP V to NP that S[+future]	object	believe	future	A communicated to B that C would happen	0.7461861371994019
prejudge	positive	NP V that S[+future]	subject	want	future	A prejudged that C would happen	0.703597366809845
expose	positive	NP V that S	subject	want	past	A exposed that C happened	0.5458097457885742
dupe	negative	NP V NP that S	object	want	past	A didn't dupe B that C happened	0.5229373574256897
persuade	negative	NP V NP that S[+future]	object	believe	future	A didn't persuade B that C would happen	0.3347758948802948
reassure	positive	NP V NP that S	subject	want	past	A reassured B that C happened	0.7403224110603333
advertise	negative	NP V to NP that S[+future]	subject	believe	future	A didn't advertise to B that C would happen	0.319790780544281
affirm	negative	NP V that S	subject	want	past	A didn't affirm that C happened	0.35423213243484497
fess_up	positive	NP V to NP that S[+future]	object	want	future	A fessed up to B that C would happen	0.4557758867740631
elect	positive	NP V that S	subject	want	past	A elected that C happened	0.7426291704177856
testify	positive	NP V to NP that S[+future]	object	want	future	A testified to B that C would happen	0.4805328845977783
fool	positive	NP be V that S[+future]	subject	believe	future	A was fooled that C would happen	0.6949896216392517
concur	positive	NP V to NP that S	object	want	past	A concurred to B that C happened	0.5971365571022034
connect	negative	NP V that S	subject	believe	past	A didn't connect that C happened	0.16182728111743927
amuse	negative	NP be V that S[+future]	subject	want	future	A wasn't amused that C would happen	0.08840300887823105
recommend	positive	NP V that S	subject	believe	past	A recommended that C happened	0.7503169178962708
relate	negative	NP V that S	subject	believe	past	A didn't relate that C happened	0.4880053997039795
appall	positive	NP be V that S[+future]	subject	want	future	A was appalled that C would happen	0.04975767433643341
urge	positive	NP V that S[+future]	subject	believe	future	A urged that C would happen	0.861312985420227
overwhelm	positive	NP be V that S	subject	want	past	A was overwhelmed that C happened	0.2449876368045807
threaten	positive	NP V that S[+future]	subject	believe	future	A threatened that C would happen	0.811374843120575
order	positive	NP be V that S	subject	want	past	A was ordered that C happened	0.6738375425338745
plot	negative	NP V that S	subject	believe	past	A didn't plot that C happened	0.4306890070438385
scoff	positive	NP V that S[+future]	subject	believe	future	A scoffed that C would happen	0.19409362971782684
contend	negative	NP V that S[+future]	subject	believe	future	A didn't contend that C would happen	0.37352925539016724
bother	positive	NP be V that S	subject	believe	past	A was bothered that C happened	0.8631260991096497
write	negative	NP V to NP that S[+future]	subject	want	future	A didn't write to B that C would happen	0.4259655773639679
rouse	negative	NP be V that S	subject	want	past	A wasn't roused that C happened	0.4698217809200287
stammer	negative	NP V to NP that S[+future]	object	want	future	A didn't stammer to B that C would happen	0.4558778405189514
dare	positive	NP V NP that S[+future]	subject	believe	future	A dared B that C would happen	0.7818835377693176
convince	negative	NP V NP that S[+future]	subject	want	future	A didn't convince B that C would happen	0.5123834609985352
imagine	negative	NP V that S[+future]	subject	want	future	A didn't imagine that C would happen	0.34594449400901794
authorize	positive	NP V that S	subject	want	past	A authorized that C happened	0.7727745175361633
jest	positive	NP V to NP that S[+future]	subject	want	future	A jested to B that C would happen	0.6136084794998169
submit	positive	NP V to NP that S	subject	believe	past	A submitted to B that C happened	0.8423916697502136
baffle	negative	NP be V that S	subject	believe	past	A wasn't baffled that C happened	0.8968969583511353
specify	positive	NP V to NP that S	subject	want	past	A specified to B that C happened	0.6796404123306274
fluster	negative	NP be V that S[+future]	subject	believe	future	A wasn't flustered that C would happen	0.7281610369682312
wager	positive	NP V to NP that S[+future]	subject	believe	future	A wagered to B that C would happen	0.861046552658081
impress	positive	NP V that S	subject	believe	past	A impressed that C happened	0.8616233468055725
okay	positive	NP V that S[+future]	subject	want	future	A okayed that C would happen	0.8289934396743774
repress	positive	NP V that S[-tense]	subject	believe	future	A repressed that C happen	0.3069935739040375
agree	positive	NP V that S	subject	want	past	A agreed that C happened	0.6158815622329712
unsettle	negative	NP be V that S	subject	want	past	A wasn't unsettled that C happened	0.7104606032371521
exclaim	negative	NP V that S	subject	believe	past	A didn't exclaim that C happened	0.5082914233207703
question	positive	NP V that S	subject	want	past	A questioned that C happened	0.34271878004074097
inquire	negative	NP V that S	subject	want	past	A didn't inquire that C happened	0.39450064301490784
present	positive	NP V to NP that S	object	believe	past	A presented to B that C happened	0.659705400466919
moan	positive	NP V to NP that S[+future]	subject	believe	future	A moaned to B that C would happen	0.797607958316803
tickle	negative	NP be V that S	subject	want	past	A wasn't tickled that C happened	0.07441417127847672
testify	negative	NP V to NP that S[+future]	subject	want	future	A didn't testify to B that C would happen	0.39704951643943787
convince	negative	NP V NP that S	subject	want	past	A didn't convince B that C happened	0.4909017086029053
contrive	negative	NP V that S	subject	believe	past	A didn't contrive that C happened	0.41064339876174927
justify	negative	NP V that S	subject	believe	past	A didn't justify that C happened	0.43596869707107544
reaffirm	negative	NP V to NP that S[+future]	object	want	future	A didn't reaffirm to B that C would happen	0.5692698359489441
aggravate	positive	NP be V that S	subject	want	past	A was aggravated that C happened	0.06970586627721786
foresee	positive	NP V that S	subject	want	past	A foresaw that C happened	0.6088142991065979
hoot	positive	NP V that S[+future]	subject	believe	future	A hooted that C would happen	0.83585125207901
giggle	positive	NP V to NP that S[+future]	subject	believe	future	A giggled to B that C would happen	0.730647623538971
holler	negative	NP V that S[+future]	subject	want	future	A didn't holler that C would happen	0.43177852034568787
interest	positive	NP be V that S[+future]	subject	believe	future	A was interested that C would happen	0.722770094871521
specify	positive	NP V that S	subject	want	past	A specified that C happened	0.7009983658790588
tweet	negative	NP V NP that S	object	want	past	A didn't tweet B that C happened	0.4442068934440613
bullshit	positive	NP V NP that S[+future]	object	believe	future	A bullshitted B that C would happen	0.6780263185501099
concede	positive	NP V that S	subject	want	past	A conceded that C happened	0.2097475826740265
elaborate	negative	NP V to NP that S	subject	want	past	A didn't elaborate to B that C happened	0.38440170884132385
catch	negative	NP V that S	subject	want	past	A didn't catch that C happened	0.44723737239837646
annotate	negative	NP V that S	subject	want	past	A didn't annotate that C happened	0.4306333363056183
yearn	negative	NP V that S	subject	believe	past	A didn't yearn that C happened	0.4884900450706482
predict	negative	NP V to NP that S[+future]	subject	believe	future	A didn't predict to B that C would happen	0.14976303279399872
envision	negative	NP V that S	subject	want	past	A didn't envision that C happened	0.37427210807800293
track	positive	NP V that S	subject	believe	past	A tracked that C happened	0.8718186020851135
convey	negative	NP V that S[+future]	subject	believe	future	A didn't convey that C would happen	0.37536337971687317
clarify	negative	NP V to NP that S	object	believe	past	A didn't clarify to B that C happened	0.35464730858802795
concur	negative	NP V that S[+future]	subject	believe	future	A didn't concur that C would happen	0.14074137806892395
kid	negative	NP be V that S	subject	believe	past	A wasn't kidded that C happened	0.3454868197441101
uncover	positive	NP V that S[+future]	subject	want	future	A uncovered that C would happen	0.47387248277664185
enthrall	positive	NP be V that S[+future]	subject	believe	future	A was enthralled that C would happen	0.8244578242301941
snicker	negative	NP V to NP that S	subject	believe	past	A didn't snicker to B that C happened	0.5023032426834106
question	positive	NP be V that S	subject	want	past	A was questioned that C happened	0.49256137013435364
question	negative	NP V that S[+future]	subject	believe	future	A didn't question that C would happen	0.7919930219650269
chuckle	negative	NP V that S[+future]	subject	want	future	A didn't chuckle that C would happen	0.42219841480255127
condemn	negative	NP V that S	subject	believe	past	A didn't condemn that C happened	0.8252618908882141
recap	positive	NP V to NP that S	object	want	past	A recapped to B that C happened	0.5631763339042664
babble	negative	NP V to NP that S	object	believe	past	A didn't babble to B that C happened	0.4483852684497833
swear	positive	NP V to NP that S	subject	believe	past	A swore to B that C happened	0.9251291751861572
contact	negative	NP be V that S	subject	believe	past	A wasn't contacted that C happened	0.4293707609176636
gall	negative	NP V that S[+future]	subject	believe	future	A didn't gall that C would happen	0.5672845840454102
disillusion	positive	NP be V that S[+future]	subject	want	future	A was disillusioned that C would happen	0.08413895964622498
underestimate	positive	NP V that S	subject	want	past	A underestimated that C happened	0.38345444202423096
permit	positive	NP V that S[+future]	subject	believe	future	A permitted that C would happen	0.885286271572113
justify	positive	NP be V that S[+future]	subject	want	future	A was justified that C would happen	0.8131340742111206
satisfy	negative	NP be V that S	subject	want	past	A wasn't satisfied that C happened	0.08905750513076782
reaffirm	positive	NP V to NP that S[+future]	object	believe	future	A reaffirmed to B that C would happen	0.7108347415924072
unsettle	negative	NP be V that S[+future]	subject	believe	future	A wasn't unsettled that C would happen	0.7231479287147522
annoy	positive	NP be V that S	subject	want	past	A was annoyed that C happened	0.09126240760087967
warn	negative	NP V NP that S	object	want	past	A didn't warn B that C happened	0.3998839259147644
promise	negative	NP V to NP that S	subject	believe	past	A didn't promise to B that C happened	0.4378849267959595
declare	negative	NP V to NP that S[+future]	subject	want	future	A didn't declare to B that C would happen	0.48179832100868225
advertise	positive	NP V to NP that S[+future]	subject	believe	future	A advertised to B that C would happen	0.8449198007583618
mortify	positive	NP be V that S	subject	want	past	A was mortified that C happened	0.05360456183552742
ensure	negative	NP V NP that S	object	want	past	A didn't ensure B that C happened	0.5387276411056519
pity	positive	NP V that S	subject	believe	past	A pitied that C happened	0.9011339545249939
describe	positive	NP V that S[+future]	subject	want	future	A described that C would happen	0.5782386064529419
devise	positive	NP V that S	subject	want	past	A devised that C happened	0.71993088722229
conceive	negative	NP V that S	subject	want	past	A didn't conceive that C happened	0.31111425161361694
exasperate	positive	NP be V that S[+future]	subject	believe	future	A was exasperated that C would happen	0.7295733690261841
overhear	positive	NP V that S	subject	believe	past	A overheard that C happened	0.6950240135192871
implore	positive	NP be V that S	subject	believe	past	A was implored that C happened	0.6875298619270325
lie	positive	NP V to NP that S[+future]	subject	want	future	A lied to B that C would happen	0.5588892698287964
allege	positive	NP V that S	subject	believe	past	A alleged that C happened	0.7237159013748169
jest	negative	NP be V that S	subject	want	past	A wasn't jested that C happened	0.4367612302303314
sadden	negative	NP be V that S	subject	want	past	A wasn't saddened that C happened	0.6906898021697998
reassert	negative	NP V that S[+future]	subject	want	future	A didn't reassert that C would happen	0.39672714471817017
hush_up	negative	NP be V that S	subject	believe	past	A wasn't hushed up that C happened	0.8464175462722778
gurgle	negative	NP V that S	subject	believe	past	A didn't gurgle that C happened	0.4428078234195709
identify	negative	NP V that S	subject	believe	past	A didn't identify that C happened	0.2525530755519867
complain	positive	NP V to NP that S[+future]	object	want	future	A complained to B that C would happen	0.2391621619462967
overestimate	negative	NP V that S[+future]	subject	want	future	A didn't overestimate that C would happen	0.4971504211425781
permit	negative	NP V that S[+future]	subject	want	future	A didn't permit that C would happen	0.17003317177295685
hold	positive	NP V that S	subject	believe	past	A held that C happened	0.9499053955078125
caution	negative	NP V NP that S	object	believe	past	A didn't caution B that C happened	0.4624707102775574
comment	negative	NP V that S[+future]	subject	believe	future	A didn't comment that C would happen	0.41966015100479126
congratulate	negative	NP V NP that S	subject	believe	past	A didn't congratulate B that C happened	0.4868590235710144
irritate	positive	NP be V that S	subject	believe	past	A was irritated that C happened	0.910789966583252
reaffirm	negative	NP V to NP that S	object	believe	past	A didn't reaffirm to B that C happened	0.42405271530151367
write	positive	NP V to NP that S[+future]	subject	want	future	A wrote to B that C would happen	0.6262416243553162
insist	negative	NP V that S[+future]	subject	believe	future	A didn't insist that C would happen	0.3711368441581726
cry	negative	NP V to NP that S	object	want	past	A didn't cry to B that C happened	0.5035757422447205
volunteer	negative	NP V that S	subject	believe	past	A didn't volunteer that C happened	0.4915276765823364
quip	positive	NP V that S	subject	believe	past	A quipped that C happened	0.8914586305618286
mistrust	negative	NP V that S[+future]	subject	want	future	A didn't mistrust that C would happen	0.5645216107368469
energize	positive	NP be V that S[+future]	subject	want	future	A was energized that C would happen	0.9283736348152161
assure	positive	NP V NP that S[+future]	object	believe	future	A assured B that C would happen	0.7350887656211853
dictate	negative	NP V that S[+future]	subject	want	future	A didn't dictate that C would happen	0.3365059196949005
horrify	positive	NP be V that S[+future]	subject	believe	future	A was horrified that C would happen	0.6411404013633728
shame	positive	NP be V that S	subject	want	past	A was shamed that C happened	0.04759327694773674
respond	negative	NP V to NP that S[+future]	subject	want	future	A didn't respond to B that C would happen	0.37034767866134644
sob	negative	NP V that S[+future]	subject	want	future	A didn't sob that C would happen	0.4216318130493164
dispute	negative	NP be V that S	subject	want	past	A wasn't disputed that C happened	0.45779505372047424
muse	negative	NP V that S[+future]	subject	want	future	A didn't muse that C would happen	0.38153403997421265
squawk	negative	NP V to NP that S	subject	want	past	A didn't squawk to B that C happened	0.41910332441329956
determine	negative	NP be V that S	subject	believe	past	A wasn't determined that C happened	0.37139543890953064
testify	positive	NP V to NP that S[+future]	object	believe	future	A testified to B that C would happen	0.8082298636436462
reason	negative	NP be V that S[+future]	subject	believe	future	A wasn't reasoned that C would happen	0.39965635538101196
scheme	positive	NP V that S	subject	want	past	A schemed that C happened	0.8783837556838989
judge	negative	NP V that S	subject	want	past	A didn't judge that C happened	0.5262849926948547
apologize	positive	NP V to NP that S	object	believe	past	A apologized to B that C happened	0.7759289741516113
dream	positive	NP V that S	subject	believe	past	A dreamt that C happened	0.43962717056274414
fax	negative	NP V to NP that S[+future]	subject	believe	future	A didn't fax to B that C would happen	0.4255673289299011
enjoy	positive	NP V that S[+future]	subject	want	future	A enjoyed that C would happen	0.9374176263809204
press	negative	NP V that S	subject	want	past	A didn't press that C happened	0.4616209864616394
grunt	negative	NP V that S	subject	want	past	A didn't grunt that C happened	0.5172845721244812
deplore	positive	NP be V that S	subject	want	past	A was deplored that C happened	0.07860986143350601
marvel	positive	NP V that S[+future]	subject	want	future	A marvelled that C would happen	0.8176864981651306
retract	positive	NP V that S[+future]	subject	believe	future	A retracted that C would happen	0.2947337031364441
hint	negative	NP V to NP that S	subject	believe	past	A didn't hint to B that C happened	0.49247846007347107
howl	positive	NP V to NP that S[+future]	subject	want	future	A howled to B that C would happen	0.5245869755744934
certify	negative	NP V that S[+future]	subject	believe	future	A didn't certify that C would happen	0.39667442440986633
insinuate	negative	NP V to NP that S	object	believe	past	A didn't insinuate to B that C happened	0.47739744186401367
scrawl	negative	NP V to NP that S[+future]	object	believe	future	A didn't scrawl to B that C would happen	0.43605881929397583
speculate	negative	NP V that S	subject	believe	past	A didn't speculate that C happened	0.4965135157108307
admit	positive	NP V to NP that S	object	want	past	A admitted to B that C happened	0.5296627283096313
blast	negative	NP V that S	subject	believe	past	A didn't blast that C happened	0.4573933482170105
insist	positive	NP V to NP that S[+future]	object	believe	future	A insisted to B that C would happen	0.6254234910011292
guarantee	negative	NP V to NP that S	object	believe	past	A didn't guarantee to B that C happened	0.5309616327285767
radio	negative	NP V to NP that S	object	believe	past	A didn't radio to B that C happened	0.42742934823036194
disclose	positive	NP V to NP that S	object	want	past	A disclosed to B that C happened	0.5386711359024048
deny	negative	NP be V that S[-tense]	subject	want	future	A wasn't denied that C happen	0.6572008728981018
intimate	negative	NP V to NP that S[+future]	subject	want	future	A didn't intimate to B that C would happen	0.4538167715072632
despair	positive	NP V that S[+future]	subject	believe	future	A despaired that C would happen	0.6994325518608093
scribble	positive	NP V to NP that S[+future]	object	want	future	A scribbled to B that C would happen	0.5434979796409607
explain	positive	NP V to NP that S	subject	want	past	A explained to B that C happened	0.565581202507019
verify	positive	NP V to NP that S	object	want	past	A verified to B that C happened	0.5975250601768494
conjecture	negative	NP be V that S[+future]	subject	want	future	A wasn't conjectured that C would happen	0.4552372694015503
enchant	positive	NP be V that S	subject	believe	past	A was enchanted that C happened	0.8819297552108765
trust	positive	NP be V that S	subject	believe	past	A was trusted that C happened	0.8469878435134888
whimper	negative	NP V that S	subject	believe	past	A didn't whimper that C happened	0.7055813074111938
specify	negative	NP V that S[+future]	subject	believe	future	A didn't specify that C would happen	0.49621981382369995
denounce	positive	NP V that S[+future]	subject	believe	future	A denounced that C would happen	0.48833024501800537
devise	negative	NP V that S	subject	believe	past	A didn't devise that C happened	0.3278694152832031
slander	negative	NP be V that S[-tense]	subject	want	future	A wasn't slandered that C happen	0.4374028146266937
boast	positive	NP V to NP that S[+future]	object	want	future	A boasted to B that C would happen	0.5111889243125916
remember	positive	NP V that S[+future]	subject	want	future	A remembered that C would happen	0.548305869102478
hanker	positive	NP V that S[+future]	subject	believe	future	A hankered that C would happen	0.7253299951553345
wager	positive	NP be V that S[+future]	subject	believe	future	A was wagered that C would happen	0.6972501277923584
preach	negative	NP V to NP that S	subject	believe	past	A didn't preach to B that C happened	0.5788307785987854
sob	positive	NP V to NP that S	object	want	past	A sobbed to B that C happened	0.2902145981788635
mumble	positive	NP V that S	subject	want	past	A mumbled that C happened	0.35431909561157227
delude	negative	NP be V that S[-tense]	subject	want	future	A wasn't deluded that C happen	0.4402707815170288
nonplus	negative	NP be V that S[+future]	subject	want	future	A wasn't nonplussed that C would happen	0.47124531865119934
foretell	positive	NP V that S[+future]	subject	want	future	A foretold that C would happen	0.595583438873291
exhilarate	positive	NP be V that S	subject	want	past	A was exhilarated that C happened	0.9456652998924255
discover	negative	NP V that S[+future]	subject	believe	future	A didn't discover that C would happen	0.3007080852985382
ensure	negative	NP V that S	subject	believe	past	A didn't ensure that C happened	0.46547117829322815
insure	negative	NP V that S[+future]	subject	believe	future	A didn't insure that C would happen	0.4411174952983856
read	positive	NP V to NP that S[-tense]	subject	believe	future	A read to B that C happen	0.7272692322731018
conjecture	positive	NP be V that S[+future]	subject	want	future	A was conjectured that C would happen	0.6069594621658325
intimidate	negative	NP be V that S	subject	want	past	A wasn't intimidated that C happened	0.5229664444923401
arrange	positive	NP V that S	subject	want	past	A arranged that C happened	0.8658786416053772
fume	positive	NP V to NP that S	object	want	past	A fumed to B that C happened	0.3318445086479187
gab	positive	NP V to NP that S[+future]	object	believe	future	A gabbed to B that C would happen	0.6836251020431519
gall	negative	NP be V that S[+future]	subject	want	future	A wasn't galled that C would happen	0.45519956946372986
disillusion	negative	NP be V that S	subject	believe	past	A wasn't disillusioned that C happened	0.6816005706787109
disgrace	positive	NP be V that S[+future]	subject	believe	future	A was disgraced that C would happen	0.6789467930793762
tease	positive	NP V that S[+future]	subject	want	future	A teased that C would happen	0.6130561828613281
counter	negative	NP V to NP that S[+future]	subject	want	future	A didn't counter to B that C would happen	0.44860604405403137
disapprove	positive	NP V that S[+future]	subject	believe	future	A disapproved that C would happen	0.463923841714859
gasp	negative	NP V that S	subject	believe	past	A didn't gasp that C happened	0.4033467769622803
chat	positive	NP V to NP that S	object	believe	past	A chatted to B that C happened	0.7475690841674805
log	negative	NP V that S[+future]	subject	want	future	A didn't log that C would happen	0.4050888121128082
mock	negative	NP be V that S	subject	want	past	A wasn't mocked that C happened	0.4891347289085388
sicken	positive	NP be V that S[+future]	subject	want	future	A was sickened that C would happen	0.06705206632614136
pain	positive	NP be V that S	subject	want	past	A was pained that C happened	0.050211962312459946
research	positive	NP V that S	subject	believe	past	A researched that C happened	0.837105393409729
prove	negative	NP V that S	subject	believe	past	A didn't prove that C happened	0.5343050956726074
reassure	positive	NP V NP that S[+future]	subject	want	future	A reassured B that C would happen	0.8272827863693237
taunt	negative	NP V NP that S[+future]	object	want	future	A didn't taunt B that C would happen	0.2833220064640045
misinform	positive	NP V that S	subject	believe	past	A misinformed that C happened	0.43343016505241394
stutter	positive	NP V to NP that S[-tense]	subject	want	future	A stuttered to B that C happen	0.4567035138607025
petition	positive	NP V that S[+future]	subject	believe	future	A petitioned that C would happen	0.8229784965515137
remind	positive	NP V NP that S[+future]	object	want	future	A reminded B that C would happen	0.6422592401504517
curse	negative	NP V to NP that S	object	believe	past	A didn't curse to B that C happened	0.5325954556465149
reminisce	positive	NP V to NP that S	object	believe	past	A reminisced to B that C happened	0.7622472643852234
attest	positive	NP V that S[+future]	subject	want	future	A attested that C would happen	0.6341336369514465
delight	negative	NP V that S	subject	want	past	A didn't delight that C happened	0.14065095782279968
growl	positive	NP V to NP that S[+future]	object	want	future	A growled to B that C would happen	0.4918151795864105
fret	positive	NP V to NP that S[+future]	object	want	future	A fretted to B that C would happen	0.3725021481513977
acknowledge	positive	NP V that S[+future]	subject	want	future	A acknowledged that C would happen	0.6408761739730835
direct	negative	NP V that S[-tense]	subject	believe	future	A didn't direct that C happen	0.3733750283718109
alert	positive	NP V NP that S	object	want	past	A alerted B that C happened	0.49781009554862976
convey	negative	NP V to NP that S	object	believe	past	A didn't convey to B that C happened	0.3768373131752014
boast	negative	NP V to NP that S	subject	believe	past	A didn't boast to B that C happened	0.5062848329544067
convince	negative	NP V NP that S[+future]	subject	believe	future	A didn't convince B that C would happen	0.5390354990959167
consult	negative	NP be V that S	subject	believe	past	A wasn't consulted that C happened	0.43151435256004333
hallucinate	positive	NP V that S[+future]	subject	want	future	A hallucinated that C would happen	0.5744040608406067
promise	negative	NP V to NP that S	object	want	past	A didn't promise to B that C happened	0.5938525795936584
clarify	negative	NP V that S[+future]	subject	believe	future	A didn't clarify that C would happen	0.49551600217819214
respond	positive	NP V to NP that S[+future]	subject	believe	future	A responded to B that C would happen	0.8467757105827332
tantalize	positive	NP be V that S	subject	believe	past	A was tantalized that C happened	0.858270525932312
claim	positive	NP be V that S[-tense]	subject	want	future	A was claimed that C happen	0.5215555429458618
believe	negative	NP V NP that S[+future]	subject	want	future	A didn't believe B that C would happen	0.4138031303882599
sing	positive	NP V to NP that S[+future]	subject	want	future	A sung to B that C would happen	0.8148404359817505
oppose	positive	NP be V that S[-tense]	subject	want	future	A was opposed that C happen	0.04279215261340141
pout	positive	NP V to NP that S[+future]	object	believe	future	A pouted to B that C would happen	0.5623840093612671
point_out	positive	NP V to NP that S[+future]	subject	want	future	A pointed out to B that C would happen	0.5175217986106873
gamble	negative	NP V that S[+future]	subject	believe	future	A didn't gamble that C would happen	0.1396685242652893
learn	positive	NP V that S[+future]	subject	want	future	A learnt that C would happen	0.5403371453285217
embellish	negative	NP V that S[+future]	subject	want	future	A didn't embellish that C would happen	0.5267743468284607
bullshit	positive	NP V NP that S[+future]	subject	want	future	A bullshitted B that C would happen	0.5036759376525879
bug	negative	NP be V that S	subject	want	past	A wasn't bugged that C happened	0.6877909898757935
assure	positive	NP V NP that S	subject	believe	past	A assured B that C happened	0.9280840158462524
alert	negative	NP V to NP that S[+future]	subject	want	future	A didn't alert to B that C would happen	0.45172274112701416
whisper	positive	NP V that S[+future]	subject	want	future	A whispered that C would happen	0.6299907565116882
joke	negative	NP V to NP that S	object	want	past	A didn't joke to B that C happened	0.3896690309047699
jade	negative	NP be V that S	subject	believe	past	A wasn't jaded that C happened	0.8542348742485046
stress	negative	NP V to NP that S[+future]	subject	believe	future	A didn't stress to B that C would happen	0.4698827564716339
shock	negative	NP be V that S[+future]	subject	want	future	A wasn't shocked that C would happen	0.5258190631866455
gripe	negative	NP V to NP that S	subject	believe	past	A didn't gripe to B that C happened	0.813566267490387
reveal	negative	NP V to NP that S	object	believe	past	A didn't reveal to B that C happened	0.18974946439266205
reply	positive	NP V to NP that S	object	believe	past	A replied to B that C happened	0.7106083631515503
mislead	negative	NP V NP that S[+future]	object	believe	future	A didn't mislead B that C would happen	0.6062304377555847
rule	positive	NP V that S	subject	believe	past	A ruled that C happened	0.9270266890525818
reiterate	positive	NP V to NP that S[+future]	object	want	future	A reiterated to B that C would happen	0.5926224589347839
require	positive	NP V that S[+future]	subject	believe	future	A required that C would happen	0.7400541305541992
regret	positive	NP V that S	subject	believe	past	A regretted that C happened	0.837871789932251
request	positive	NP V to NP that S[-tense]	subject	believe	future	A requested to B that C happen	0.7003945112228394
blog	negative	NP V to NP that S	subject	believe	past	A didn't blog to B that C happened	0.49354833364486694
chide	negative	NP be V that S[+future]	subject	want	future	A wasn't chided that C would happen	0.4507797062397003
certify	negative	NP be V that S	subject	want	past	A wasn't certified that C happened	0.4629421532154083
confirm	positive	NP V to NP that S	subject	believe	past	A confirmed to B that C happened	0.927865743637085
update	negative	NP V that S[+future]	subject	believe	future	A didn't update that C would happen	0.47261860966682434
challenge	positive	NP be V that S	subject	want	past	A was challenged that C happened	0.3599243760108948
clarify	negative	NP V to NP that S	object	want	past	A didn't clarify to B that C happened	0.4004185199737549
hear	negative	NP V that S[+future]	subject	believe	future	A didn't hear that C would happen	0.28943002223968506
fuss	negative	NP V to NP that S[+future]	subject	believe	future	A didn't fuss to B that C would happen	0.5937703847885132
assume	positive	NP V that S[+future]	subject	want	future	A assumed that C would happen	0.6147127747535706
discuss	negative	NP V to NP that S[+future]	subject	believe	future	A didn't discuss to B that C would happen	0.4544948637485504
befuddle	positive	NP be V that S	subject	believe	past	A was befuddled that C happened	0.528777003288269
write	negative	NP V to NP that S	object	believe	past	A didn't write to B that C happened	0.3811787962913513
foretell	negative	NP V that S[+future]	subject	want	future	A didn't foretell that C would happen	0.38214677572250366
connect	positive	NP V that S	subject	believe	past	A connected that C happened	0.8332467079162598
gasp	positive	NP V that S	subject	want	past	A gasped that C happened	0.3574681282043457
jar	positive	NP be V that S	subject	believe	past	A was jarred that C happened	0.790905237197876
email	negative	NP V that S	subject	believe	past	A didn't email that C happened	0.5179992318153381
ruminate	positive	NP V that S	subject	believe	past	A ruminated that C happened	0.7642197608947754
regret	negative	NP V that S	subject	believe	past	A didn't regret that C happened	0.8947286605834961
signal	positive	NP V to NP that S	subject	want	past	A signalled to B that C happened	0.6036146879196167
chide	positive	NP be V that S[+future]	subject	believe	future	A was chided that C would happen	0.4838936924934387
reassure	negative	NP V that S[+future]	subject	believe	future	A didn't reassure that C would happen	0.38278669118881226
enjoy	negative	NP V that S[+future]	subject	want	future	A didn't enjoy that C would happen	0.04522574320435524
blog	positive	NP V to NP that S[+future]	object	want	future	A blogged to B that C would happen	0.6022034287452698
joke	positive	NP V to NP that S[+future]	subject	believe	future	A joked to B that C would happen	0.44409406185150146
advertise	negative	NP be V that S[+future]	subject	want	future	A wasn't advertised that C would happen	0.4681771993637085
reject	negative	NP V that S	subject	believe	past	A didn't reject that C happened	0.8576238751411438
understand	positive	NP V that S[+future]	subject	want	future	A understood that C would happen	0.5689817070960999
brood	negative	NP V that S[+future]	subject	believe	future	A didn't brood that C would happen	0.5459122061729431
fume	positive	NP V that S[+future]	subject	want	future	A fumed that C would happen	0.044308945536613464
infuriate	positive	NP be V that S[+future]	subject	want	future	A was infuriated that C would happen	0.03466951102018356
abhor	positive	NP be V that S	subject	want	past	A was abhorred that C happened	0.07152920216321945
rebuke	negative	NP V that S[+future]	subject	want	future	A didn't rebuke that C would happen	0.5601386427879333
